p
(:Product {id: B00298417})-[:HAS_NAME]->(:ProductName {id: ERITA.J華漾上衣組合-O})
(:Product {id: B00201581})-[:HAS_NAME]->(:ProductName {id: 全蕾絲無痕褲+贈品})
(:Product {id: B07516172})-[:HAS_NAME]->(:ProductName {id: 谷溜谷溜銀寶雙全木耳飲好評推薦組})
(:Product {id: B02135032})-[:HAS_NAME]->(:ProductName {id: 飛利浦LEDStick廣角燈泡4入/盒破盤組(白光)-IB})
(:Product {id: B03215596})-[:HAS_NAME]->(:ProductName {id: 優貝選 寶寶隔尿墊 4層透氣防水墊 生理期產褥墊 老人護理保潔墊-2件組})
(:Product {id: B03778853})-[:HAS_NAME]->(:ProductName {id: A+蘆屋家石墨烯速還孅美身褲-3入組-OB})
(:Product {id: B00335847})-[:HAS_NAME]->(:ProductName {id: 比得兔珍愛收藏版海苔系列-型})
(:Product {id: B00239884})-[:HAS_NAME]->(:ProductName {id: 都會上班族褲套裝組-型})
(:Product {id: B00309794})-[:HAS_NAME]->(:ProductName {id: Ardor A線條復古大衣})
(:Product {id: B04294599})-[:HAS_NAME]->(:ProductName {id: 華陀石墨烯太極石量子貼片極舒緩(大)-OB})
(:Product {id: B07686290})-[:HAS_NAME]->(:ProductName {id: 自然美瑞昇 超逆齡賦活膠囊EX新裝升級版特惠組(元)-OB})
(:Product {id: B05857457})-[:HAS_NAME]->(:ProductName {id: 英國Belvia漸進式纖腰挺背帶})
(:Product {id: B00202515})-[:HAS_NAME]->(:ProductName {id: 特級水鳥羽絨被組})
(:Product {id: B05984274})-[:HAS_NAME]->(:ProductName {id: 克洛蒙 法式廚師鍋具組})
(:Product {id: A00112693})-[:HAS_NAME]->(:ProductName {id: 日本味王第二代膠原蛋白})
(:Product {id: B00239333})-[:HAS_NAME]->(:ProductName {id: 台鹽-膠原骨錠})
(:Product {id: B00239334})-[:HAS_NAME]->(:ProductName {id: 台鹽-膠原骨錠(型)})
(:Product {id: B00264863})-[:HAS_NAME]->(:ProductName {id: 台鹽膠原骨錠-New-2})
(:Product {id: B00386340})-[:HAS_NAME]->(:ProductName {id: 諾得膠囊-體內環保清體素})
(:Product {id: B00454045})-[:HAS_NAME]->(:ProductName {id: 康氏黃金蜆錠健康加值組-當})
(:Product {id: B01221116})-[:HAS_NAME]->(:ProductName {id: 會推-陳德容代言家倍健金盞花萃取物(含葉黃素)軟膠囊-網})
(:Product {id: B01754933})-[:HAS_NAME]->(:ProductName {id: 妍美会專利游離型葉黃素專業推薦組-OB})
(:Product {id: B01994589})-[:HAS_NAME]->(:ProductName {id: 華陀龜鹿固骨膠孝親專案1斤組-OB})
(:Product {id: B02059763})-[:HAS_NAME]->(:ProductName {id: 挺立鈣強力錠東森特惠組-IB})
(:Product {id: B02795319})-[:HAS_NAME]->(:ProductName {id: 華陀珍珠鹿角鈣1111搶先組-OB})
